log,quality_score,recon_time_acc4_s,recon_time_acc8_s,recon_time_s,run_dir,ssim_bbox,ssim_bbox_acc4,ssim_bbox_acc8,ssim_full,ssim_full_acc4,ssim_full_acc8,tag,time_ms_per_slice,time_score,total_score
reports/phase2/EXP030_official_run21_20260710_041558/eval_run.log,0.9143,199.15,184.85,384.0,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run21_20260710_041558,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run21,173.5,0.0009513020833333333,0.9152513020833334
reports/phase2/EXP030_official_run22_20260710_042511/eval_run.log,0.9143,199.26,184.83,384.09,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run22_20260710_042511,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run22,173.6,0.0009512500000000001,0.91525125
reports/phase2/EXP030_official_run23_20260710_043425/eval_run.log,0.9143,199.26,185.05,384.31,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run23_20260710_043425,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run23,173.7,0.0009511979166666667,0.9152511979166666
reports/phase2/EXP030_official_run24_20260710_044339/eval_run.log,0.9143,199.52,184.73,384.25,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run24_20260710_044339,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run24,173.6,0.0009512500000000001,0.91525125
reports/phase2/EXP030_official_run25_20260710_045253/eval_run.log,0.9143,199.24,184.75,384.0,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run25_20260710_045253,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run25,173.5,0.0009513020833333333,0.9152513020833334
reports/phase2/EXP030_official_run26_20260710_050206/eval_run.log,0.9143,199.21,184.85,384.07,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run26_20260710_050206,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run26,173.6,0.0009512500000000001,0.91525125
reports/phase2/EXP030_official_run27_20260710_051119/eval_run.log,0.9143,199.25,184.97,384.23,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run27_20260710_051119,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run27,173.6,0.0009512500000000001,0.91525125
reports/phase2/EXP030_official_run28_20260710_052032/eval_run.log,0.9143,199.39,184.84,384.23,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run28_20260710_052032,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run28,173.6,0.0009512500000000001,0.91525125
reports/phase2/EXP030_official_run29_20260710_052946/eval_run.log,0.9143,199.16,184.94,384.1,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run29_20260710_052946,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run29,173.6,0.0009512500000000001,0.91525125
reports/phase2/EXP030_official_run30_20260710_053859/eval_run.log,0.9143,199.28,184.77,384.05,reports/phase2/repeat_EXP030_official_20260710_011126/EXP030_official_run30_20260710_053859,0.9108,0.9373,0.8844,0.9178,0.9408,0.8949,EXP030_official_run30,173.5,0.0009513020833333333,0.9152513020833334
