exp_id,status,cascade,chans,sens_chans,epochs,seed,ssim_full,ssim_bbox,quality_score,acc4_quality,acc8_quality,val_loss,train_time_s,val_time_s,forward_time_s,skipped_count,failure_kind,reason
LOCAL_EXP024_varnet_c4_ch14_s8_e1,local_probe_done,4,14,8,1,430,0.8795853271496431,0.8853956553506555,0.8824904912501492,0.8982502596182989,0.860405328657685,3.7197679815429776,870.7213,58.6991,0.3116,0,,Map the cascade-width response between ch12 and the strong ch16 probe.
LOCAL_EXP025_varnet_c4_ch12_s10_e1,local_probe_done,4,12,10,1,430,0.8834250093862772,0.8925935344666428,0.8880092719264601,0.9033175713857358,0.866236160043627,3.6461109876440125,994.9206,65.9287,0.3324,0,,Map sensitivity width between the s8 baseline and successful s12 probe.
LOCAL_EXP026_varnet_c4_ch16_s10_e1,local_probe_done,4,16,10,1,430,0.8794680238523616,0.8835868291232897,0.8815274264878257,0.8970262402227496,0.8595336447814824,3.7231682368677834,1103.7548,72.0478,0.3566,0,,Test whether s10 preserves the strong ch16/s8 result better than ch16/s12.
LOCAL_EXP027_varnet_c6_ch14_s8_e1,local_probe_done,6,14,8,1,430,0.8841284132938168,0.8931268794195992,0.888627646356708,0.9037073025769345,0.8672733413986862,3.668049718403932,1167.2342,76.455,0.3301,0,,Test the cascade-by-width interaction between c6/ch12 and c4/ch14/ch16.
LOCAL_EXP028_varnet_c7_ch12_s8_e1,local_probe_done,7,12,8,1,430,0.8843235364454586,0.8948626322035463,0.8895930843245025,0.9036611247629043,0.8696873903326277,3.6353778787438777,1207.9154,77.0096,0.3419,0,,Test whether depth improves beyond the existing c6/ch12/s8 local probe.
