exp_id,status,cascade,chans,sens_chans,epochs,seed,ssim_full,ssim_bbox,quality_score,acc4_quality,acc8_quality,val_loss,epoch0_train_time_s,epoch0_val_time_s,epoch0_forward_time_s,skipped_count,failure_kind,reason
LOCAL_EXP029_varnet_c4_ch12_s8_e5,local_probe_done,4,12,8,5,430,0.8957743250615376,0.9116992113753135,0.9037367682184256,0.9175853404877734,0.8841012359027647,3.3905022666181948,890.9173,60.0391,0.3952,0,,Five-epoch local baseline for a matched longer-run architecture comparison.
LOCAL_EXP032_varnet_c4_ch16_s8_e5,local_probe_done,4,16,8,5,430,0.8986326562318429,0.9185488327689793,0.9085907445004111,0.921926942181567,0.8897244161150107,3.303218053597421,1002.5798,69.4259,0.4093,0,,Five-epoch test of the selected one-epoch c4 candidate.
LOCAL_EXP033_varnet_c4_ch12_s8_e1_seed431,local_probe_done,4,12,8,1,431,0.8823435133989481,0.8932403355651761,0.8877919244820621,0.9029875613906255,0.8662982413769458,3.69040791450174,944.1622,64.7533,0.5145,0,,Second-seed baseline to estimate one-epoch ranking stability.
LOCAL_EXP034_varnet_c4_ch16_s8_e1_seed431,local_probe_done,4,16,8,1,431,0.8808135834113988,0.8923592767360048,0.8865864300737019,0.9032708808244905,0.8622567403319947,3.696583325746992,956.0137,64.6747,0.356,0,,Second-seed replication of the selected one-epoch c4 candidate.
LOCAL_EXP035_varnet_c4_ch16_s8_e10,local_probe_done,4,16,8,10,430,0.9021009121622358,0.9229051363394127,0.9125030242508243,0.925677461482104,0.8935113753950983,3.242972145084181,976.0457,56.4687,0.3584,0,,Ten-epoch local trajectory for the selected candidate; exploratory only.
