exp_id,status,cascade,chans,sens_chans,epochs,seed,ssim_full,ssim_bbox,quality_score,acc4_quality,acc8_quality,val_loss,train_time_s,val_time_s,forward_time_s,skipped_count,failure_kind,reason
LOCAL_EXP018_varnet_c4_ch16_s8_e1,local_probe_done,4,16,8,1,430,0.8854211528141489,0.9004961318851258,0.8929586423496374,0.9092240471273709,0.8699221048435127,3.6148317265258223,895.803,57.3653,0.3057,0,,Test cascade U-Net width above the EXP030 c4/ch12/s8 baseline.
LOCAL_EXP019_varnet_c4_ch12_s12_e1,local_probe_done,4,12,12,1,430,0.8844853268109742,0.894814445735505,0.8896498862732396,0.9045920514064574,0.8686692826536104,3.6491647698880723,1061.4322,66.2729,0.308,0,,Isolate sensitivity-map U-Net width above EXP030 sens_chans=8.
LOCAL_EXP020_varnet_c4_ch18_s8_e1,local_probe_done,4,18,8,1,430,0.8817238235744905,0.8924220485716873,0.8870729360730889,0.902121399080672,0.8660649222201082,3.651883316906373,1057.147,70.4522,0.4023,0,,Test original-VarNet cascade width while retaining EXP030 cascade/sensitivity settings.
LOCAL_EXP021_varnet_c6_ch12_s12_e1,local_probe_done,6,12,12,1,430,0.8844415617802954,0.8939631755307594,0.8892023686555275,0.9070642763318615,0.8627274111516912,3.76230226104345,1364.5056,72.8017,0.3641,0,,Combine the local cascade-6 leader with wider sensitivity estimation.
LOCAL_EXP022_varnet_c4_ch16_s12_e1,local_probe_done,4,16,12,1,430,0.883121207752059,0.8911024972518778,0.8871118525019684,0.9033776048283706,0.8636826971907996,3.6625753788612516,1128.321,75.2862,0.3438,0,,Combine both width increases on the official c4 family.
LOCAL_EXP023_varnet_c6_ch16_s8_e1,local_probe_done,6,16,8,1,430,0.8792693434864772,0.8890259180750165,0.8841476307807469,0.8999979822952473,0.8617481715045869,3.769920798838987,1277.1992,78.1737,0.3505,0,,Highest-risk capacity probe: combine cascade-6 with a wider regularizer.
