exp_id,date,machine,branch,commit,exp_name,cascade,chans,sens_chans,epochs,config,seed,command,status,val_loss,ssim_full,ssim_bbox,ssim_full_acc4,ssim_bbox_acc4,ssim_full_acc8,ssim_bbox_acc8,checkpoint_path,notes
EXP000,2026-07-07,workspace-f8goig3juber-0,setup/local-vessl-ready,972dc47,EXP000_smoke_varnet_c1_ch9_s4_e1,1,9,4,1,none,430,python train.py -b 1 -e 1 -l 0.001 -r 10 -n EXP000_smoke_varnet_c1_ch9_s4_e1 -t /root/Data/train/ -v /root/Data/val/ --cascade 1 --chans 9 --sens_chans 4 --seed 430,done,4.335971523627778,0.8555344924914702,0.8488467528212885,0.8752739521736594,0.8550138779889758,0.8346127214220663,0.8366267085075378,../result/EXP000_smoke_varnet_c1_ch9_s4_e1/checkpoints/best_model.pt,Smoke run completed on VESSL; skipped.json empty; all 161 bbox annotations evaluated
EXP001,2026-07-07,workspace-f8goig3juber-0,setup/local-vessl-ready,d31133e,EXP001_baseline_varnet_c1_ch9_s4_e5,1,9,4,5,none,430,python train.py -b 1 -e 5 -l 0.001 -r 10 -n EXP001_baseline_varnet_c1_ch9_s4_e5 -t /root/Data/train/ -v /root/Data/val/ --cascade 1 --chans 9 --sens_chans 4 --seed 430,done,3.742339516087377,0.8775020848333308,0.8734674827652689,0.895139145763266,0.8818787876690659,0.8588086374414464,0.8568006378633005,../result/EXP001_baseline_varnet_c1_ch9_s4_e5/checkpoints/best_model.pt,Official-like 5 epoch baseline completed on VESSL; best_epoch=4
EXP010,2026-07-07,workspace-f8goig3juber-0,setup/local-vessl-ready,f616b1d,EXP010_varnet_c2_ch9_s4_e10,2,9,4,10,none,430,python train.py -b 1 -e 10 -l 0.001 -r 10 -n EXP010_varnet_c2_ch9_s4_e10 -t /root/Data/train/ -v /root/Data/val/ --cascade 2 --chans 9 --sens_chans 4 --seed 430,done,3.3869223552422363,0.8946281794350307,0.9089210673889018,0.9110714525204033,0.9182333801394311,0.8772000228054821,0.8904688921239641,../result/EXP010_varnet_c2_ch9_s4_e10/checkpoints/best_model.pt,Cascade 2 improved strongly over EXP001; skipped.json empty; best_epoch=9
EXP011,2026-07-08,workspace-f8goig3juber-0,setup/local-vessl-ready,3c1df36,EXP011_varnet_c4_ch9_s4_e10,4,9,4,10,none,430,python train.py -b 1 -e 10 -l 0.001 -r 10 -n EXP011_varnet_c4_ch9_s4_e10 -t /root/Data/train/ -v /root/Data/val/ --cascade 4 --chans 9 --sens_chans 4 --seed 430,done,3.2896190929437226,0.8994653502999606,0.9182903899909547,0.9153357927277868,0.9281987882106104,0.8826443344975511,0.8986570824075628,../result/EXP011_varnet_c4_ch9_s4_e10/checkpoints/best_model.pt,Cascade 4 improved over EXP010; skipped.json empty; current best; best_epoch=9
EXP012,2026-07-08,workspace-f8goig3juber-0,setup/local-vessl-ready,f698049,EXP012_varnet_c4_ch12_s4_e10,4,12,4,10,none,430,python train.py -b 1 -e 10 -l 0.001 -r 10 -n EXP012_varnet_c4_ch12_s4_e10 -t /root/Data/train/ -v /root/Data/val/ --cascade 4 --chans 12 --sens_chans 4 --seed 430,done,3.2876096990602717,0.8994141339351495,0.9187541341189271,0.9150149570343242,0.9278178315296352,0.8828788865357637,0.9007945855458578,../result/EXP012_varnet_c4_ch12_s4_e10/checkpoints/best_model.pt,VESSL EXP012 cascade=4 chans=12 sens_chans=4; official run
EXP013,2026-07-09,workspace-f8goig3juber-0,setup/local-vessl-ready,37c66c5,EXP013_varnet_c4_ch12_s8_e10,4,12,8,10,none,430,python train.py -b 1 -e 10 -l 0.001 -r 10 -n EXP013_varnet_c4_ch12_s8_e10 -t /root/Data/train/ -v /root/Data/val/ --cascade 4 --chans 12 --sens_chans 8 --seed 430,done,3.281084766894223,0.8998157547035651,0.9205543854221794,0.9156682505947366,0.931258392668216,0.8830137603605787,0.8993445932865143,../result/EXP013_varnet_c4_ch12_s8_e10/checkpoints/best_model.pt,VESSL EXP013 cascade=4 chans=12 sens_chans=8; official run
EXP030,2026-07-10,workspace-f8goig3juber-0,setup/local-vessl-ready,770c593,EXP030_varnet_c4_ch12_s8_e20,4,12,8,20,none,430,python train.py -b 1 -e 20 -l 0.001 -r 10 -n EXP030_varnet_c4_ch12_s8_e20 -t /root/Data/train/ -v /root/Data/val/ --cascade 4 --chans 12 --sens_chans 8 --seed 430,done,3.202955630212294,0.90337035478141,0.9259878171156652,0.918414056886912,0.9352672735107279,0.8874255976018807,0.9076007461106336,../result/EXP030_varnet_c4_ch12_s8_e20/checkpoints/best_model.pt,VESSL EXP030 cascade=4 chans=12 sens_chans=8 epochs=20; skipped.json empty; best_epoch=19; quality=0.9146790859485376; beats EXP012 by +0.0055949519214994
EXP031,2026-07-11,workspace-f8goig3juber-0,phase2/eval-wrapper-vessl,1a38022+uncommitted-resume,EXP031_varnet_c4_ch12_s8_e30,4,12,8,30,resume_from_EXP030_epoch20,430,python train.py -b 1 -e 30 -l 0.001 -r 10 -n EXP031_varnet_c4_ch12_s8_e30 -t /root/Data/train/ -v /root/Data/val/ --cascade 4 --chans 12 --sens_chans 8 --seed 430 --resume-checkpoint /root/result/EXP030_varnet_c4_ch12_s8_e20/checkpoints/model.pt,done,3.1818922822357556,0.9045007727691708,0.9303804835917787,0.9194286446606498,0.9377300026260804,0.8886787835508585,0.9158175477275142,../result/EXP031_varnet_c4_ch12_s8_e30/checkpoints/best_model.pt,VESSL EXP031 resumed model and optimizer from EXP030 epoch 20; legacy source lacked RNG state; clean epoch-29 completion; skipped.json empty; best_epoch=27; quality=0.9174406281804748; official run EXP031_official_20260711_014023; official_quality=0.91525; official_total=0.9162015104166666; one-shot leader pending approved timing cohort
